Time;Temp Winding;Mvar;MW
21/01/2025 17.14;71,61354065;21,18676949;135,5249329
21/01/2025 17.15;71,71097565;21,8490963;131,5818787
21/01/2025 17.16;71,71078491;21,21688843;130,7223358
21/01/2025 17.17;71,72544098;21,66636467;129,3714294
21/01/2025 17.18;71,59231567;22,71494675;129,1804199
21/01/2025 17.19;71,55067444;20,59428787;127,0523758
21/01/2025 17.20;71,50183105;22,86750984;126,2151031
21/01/2025 17.21;71,40415192;22,31366158;127,5350189
21/01/2025 17.22;71,32040405;25,8711586;131,158783
21/01/2025 17.23;71,24389648;23,40483284;133,6748199
21/01/2025 17.24;71,27109528;25,34602737;138,1399841
21/01/2025 17.25;71,27841949;25,38510132;141,0484924
21/01/2025 17.26;71,37648773;24,8019371;139,1591034
21/01/2025 17.27;71,50183105;24,02718544;127,553894
21/01/2025 17.28;71,60583496;21,90678215;134,8392944
21/01/2025 17.29;71,56459808;21,79356575;122,7921829
21/01/2025 17.30;71,49419403;24,37934303;122,9007263
21/01/2025 17.31;71,46672821;23,94472694;124,8484344
21/01/2025 17.32;71,29824066;23,14883423;125,0760651
21/01/2025 17.33;71,20879364;22,54468727;123,6675797
21/01/2025 17.34;71,06961823;23,24119377;124,5066223
21/01/2025 17.35;70,88054657;22,66500664;125,4197769
21/01/2025 17.36;70,85273743;25,62652969;124,1932755
21/01/2025 17.37;70,72039032;20,81765747;124,3625107
21/01/2025 17.38;70,63623047;23,55163765;124,3733826
21/01/2025 17.39;70,57387543;22,41009903;125,4283676
21/01/2025 17.40;70,51100159;21,53776932;125,2425842
21/01/2025 17.41;70,42735291;22,81105232;122,8803558
21/01/2025 17.42;70,30819702;23,80935669;125,244606
21/01/2025 17.43;70,28083038;21,59066391;124,646843
21/01/2025 17.44;70,23199463;21,48174667;124,8766327
21/01/2025 17.45;70,14814758;22,97108459;124,8326111
21/01/2025 17.46;70,18315125;25,64119911;133,5897522
21/01/2025 17.47;70,12019348;22,82070732;128,0089264
21/01/2025 17.48;70,18315125;24,42509079;126,8758926
21/01/2025 17.49;70,2183075;22,9398613;127,0877762
21/01/2025 17.50;70,20355225;24,01091766;125,2430267
21/01/2025 17.51;70,20491791;21,95149612;124,961586
21/01/2025 17.52;70,18315125;22,33463287;122,3596802
21/01/2025 17.53;70,13431549;24,87792015;121,1106644
21/01/2025 17.54;70,03662872;21,9999752;123,72509
21/01/2025 17.55;69,98779297;24,4454937;126,3421097
21/01/2025 17.56;70,00146484;22,95014763;128,0331116
21/01/2025 17.57;69,98779297;21,72564507;133,2176056
21/01/2025 17.58;70,02318573;21,90384674;122,8904266
21/01/2025 17.59;70,08547211;23,11659813;123,466156
21/01/2025 18.00;70,00906372;20,90781784;120,3991547
21/01/2025 18.01;70,0014267;20,09358978;120,651268
21/01/2025 18.02;69,91060638;20,44539833;121,820694
21/01/2025 18.03;69,84127045;21,25040817;122,9305878
21/01/2025 18.04;69,77105713;20,64746094;124,5435333
21/01/2025 18.05;69,76535797;22,33532143;125,6892319
21/01/2025 18.06;69,68089294;20,638834;125,3059921
21/01/2025 18.07;69,74359131;21,22887039;122,9374466
21/01/2025 18.08;69,7026825;20,99131012;123,0558624
21/01/2025 18.09;69,6112442;22,21443558;123,1295547
21/01/2025 18.10;69,63218689;21,62086678;125,6017914
21/01/2025 18.11;69,54823303;21,05155754;126,1754227
21/01/2025 18.12;69,59706879;21,61238289;125,7012482
21/01/2025 18.13;69,54823303;20,60249901;125,4313278
21/01/2025 18.14;69,59706879;21,19862556;124,6813202
21/01/2025 18.15;69,60456848;23,90629768;124,1260147
21/01/2025 18.16;69,59706879;22,96737289;127,6524048
21/01/2025 18.17;69,56230927;20,97491455;128,2874451
21/01/2025 18.18;69,61094666;21,63443184;137,4260406
21/01/2025 18.19;69,76506805;19,65447426;129,3073425
21/01/2025 18.20;69,82730865;19,47800064;120,5480423
21/01/2025 18.21;69,83304596;23,85595512;122,6735611
21/01/2025 18.22;69,83395386;22,86431122;126,1028137
21/01/2025 18.23;69,9112854;21,99365425;143,2773743
21/01/2025 18.24;69,96052551;24,07997513;127,9025421
21/01/2025 18.25;70,03662872;21,78878784;128,009079
21/01/2025 18.26;70,13431549;23,37499619;126,8511353
21/01/2025 18.27;70,18315125;22,23235893;137,5370026
21/01/2025 18.28;70,21855164;24,36844826;128,6292267
21/01/2025 18.29;70,33657837;23,43405342;134,9149628
21/01/2025 18.30;70,40090179;23,66075516;129,1535187
21/01/2025 18.31;70,42735291;24,22861671;130,4855042
21/01/2025 18.32;70,54562378;25,25106621;138,6269226
21/01/2025 18.33;70,57387543;22,01007462;139,6697998
21/01/2025 18.34;70,68470001;26,31937981;142,2466583
21/01/2025 18.35;70,88877869;22,38411903;124,9323959
21/01/2025 18.36;71,02745819;21,96673012;120,8730316
21/01/2025 18.37;70,9783783;23,28956032;119,6506805
21/01/2025 18.38;70,91575623;23,58238029;120,2653503
21/01/2025 18.39;70,75511169;21,46656799;120,8842468
21/01/2025 18.40;70,64379883;22,82929039;121,905098
21/01/2025 18.41;70,52503204;22,32442474;120,8210297
21/01/2025 18.42;70,32967377;20,14460564;120,7583542
21/01/2025 18.43;70,17324829;22,79629517;121,5397949
21/01/2025 18.44;70,09932709;21,55988312;123,209053
21/01/2025 18.45;70,001091;23,11777115;122,1434937
21/01/2025 18.46;69,93894958;23,20398331;121,452179
21/01/2025 18.47;69,84127045;24,45435143;121,2350235
21/01/2025 18.48;69,73493958;22,92255783;123,2527237
21/01/2025 18.49;69,6672821;25,66301346;126,716629
21/01/2025 18.50;69,65940094;25,57316589;135,6777802
21/01/2025 18.51;69,74991608;25,85023689;126,7121887
21/01/2025 18.52;69,86215973;24,57284164;135,8563843
21/01/2025 18.53;69,96032715;25,33755302;136,6189423
21/01/2025 18.54;70,07192993;24,50618744;129,7108765
21/01/2025 18.55;70,20384216;24,4746685;137,8282928
21/01/2025 18.56;70,33861542;22,1710186;128,237381
21/01/2025 18.57;70,40577698;24,5643177;143,7122498
21/01/2025 18.58;70,55970001;23,56576538;128,322876
21/01/2025 18.59;70,75583649;22,50356483;138,9764404
21/01/2025 19.00;70,83180237;23,54019928;125,2449188
21/01/2025 19.01;70,88039398;22,78371239;136,4564056
21/01/2025 19.02;70,93761444;25,27658081;126,6471024
21/01/2025 19.03;70,92977905;23,97123718;127,7657394
21/01/2025 19.04;70,92953491;23,60872841;138,7753448
21/01/2025 19.05;70,96459198;25,54585266;127,3998871
21/01/2025 19.06;71,01343536;24,92577744;138,8135376
21/01/2025 19.07;71,04129028;25,37242889;139,5450287
21/01/2025 19.08;71,18731689;23,93805313;130,4379883
21/01/2025 19.09;71,25762939;27,24848938;147,6565247
21/01/2025 19.10;71,36933899;24,14267159;138,094635
21/01/2025 19.11;71,5788269;26,64143562;140,479126
21/01/2025 19.12;71,73215485;26,38222694;140,3776398
21/01/2025 19.13;71,82224274;24,56586075;136,7438354
21/01/2025 19.14;72,02568054;25,93983078;134,5821381
21/01/2025 19.15;72,06596375;25,88668251;143,8479919
21/01/2025 19.16;72,24262238;26,24774933;132,3062897
